"Member","Staked (SHITMOS)","Voting power"
"osmo19rgz75zd7zclkdenegwex4j92g4a8ntctrgqj3","41","0.002334944865691979"
"osmo19njf667kw2acwfpapupm5z4tfckfjyy955rfww","40.86","0.002326971883223762"
"osmo1cwhcqp38tdhx8c2ywltrsyhed9kp4t0wht5ape","40.480312","0.0023053486991709607"
"osmo1cs0ysv4l5rk6h3tayrza4x9lphk8dpjvmez4yy","37.605472","0.002141626921178621"
"osmo1qykpgnx9w9ezw45qqee3tywzzzn2zzlydtvsk5","35.52","0.0020228595519360755"
"osmo1wlureh2j6exueae8hlp5v67uedjvesjr9c0lw2","35.5","0.0020217205544406157"
"osmo1q0tfewa60enuu8utyjs9w7um58njhd7fa4gwer","35.3","0.0020103305794860206"
"osmo1fgqf6a04vryth6sddymdxtsph6pdp8yzrv2wzj","33.3","0.0018964308299400704"
"osmo1u02t6kqvzeszmykjaa5kv23gq0q98kyutd4jav","33.3","0.0018964308299400704"
"osmo1tr9kzjxydzvm8lzy7z3rvsac62c5zz3mplsm8q","28.86","0.001643573385948061"
"osmo15sz727cdzsgepw2aqc5slq0qj43ladjuf49282","26.794568","0.0015259472921959657"
"osmo1qwpxmmkwnjkyzpc4ttev2rxguu8l6v4e5a9yrn","26.64","0.0015171446639520563"
"osmo1rn29rjawmugdp6azph49a8g5awf5kv3dd29p30","25","0.0014237468693243773"
"osmo1t7kggne7kpsrctfkau00cnkp4lu34u7fqhx4yf","24","0.0013667969945514022"
"osmo1yjx5qht3mhc7tz0fvfx2r092qv6cg9w6yq72vk","22","0.0012528972450054521"
"osmo1dkjr3vey927m9r8cnlteg5cfzxqjxgxljx65ez","21.579685","0.001228960358390249"
"osmo1yhs2k5fnmvxm633d8w0anl9d88lavvfj4cwmep","14.985","0.0008533938734730318"
"osmo1smg82dfsvp0zpp59nk5upu7uj7x0h2p920wd06","11.1","0.0006321436099800235"
"osmo1ak38hc4r6evj3wyv2am8f0wjmva9pr8wfkkxau","10.86","0.0006184756400345095"
"osmo19ylvvnkvcx4j4gx0060qtla8mgskek57yg0xcr","10","0.0005694987477297509"
"osmo1khfrzy6fgpxu6a7lzj7xs43rsmr4r8tyxpdcjl","10","0.0005694987477297509"
"osmo1ptwcxrgvpuzaxsdh2vxn0z5l47ph74zfdm2jkg","6","0.00034169924863785054"
"osmo1ak2d0zuy23zysnten9k54fxxw0m5hfmmfp8704","4.44","0.00025285744399200944"
"osmo1e0t979kvp2ru0s35fyvl4j0dj67lsc9twkquvr","4","0.00022779949909190034"
"osmo1pgjsu5996dk9gr8wy4z357k5lq4x7werrw7a9d","4","0.00022779949909190034"
"osmo13gfcca74xad44wpug33ng0epahjqdepzy3sp90","2","0.00011389974954595017"
"osmo1dseyqegdyvy2gwqsdy3vfkagv7d7v0kmykyjeu","2","0.00011389974954595017"
"osmo1elclpa4cpu3tshp9sd2r5v5gjnm6sn585zgtnx","2","0.00011389974954595017"
"osmo1rf5hprmts0h50ww7mktkly9pw9sdkyt6488vfy","2","0.00011389974954595017"
"osmo1u3pcyfx9kr4y3gh5ql5u2vy2d8wfnp3rxktjxh","2","0.00011389974954595017"
"osmo1za3wczlyeulswx73ccu6edny7l2hzyw5f5l22c","2","0.00011389974954595017"
"osmo1lwsv8vaxpsxqx6g3dew5ma6hwdr4t6nhqm3vld","1","0.000056949874772975085"
"osmo10h5qkujhw8jnztppngtjtg5wy2ma9xwqrz70pj","0","0"
"osmo12s7cfwfj3jc8f89cw8ws0jfaux37tyjwwe79za","0","0"
"osmo13ml8ncuzcecwq5mxpk2n3lef8pckr588s67mtd","0","0"
"osmo19u3je9zlwt2266kqgf47nvns557ce4w7w9y3aw","0","0"
"osmo1a8ggcd0zyjn9u7s77y8llmaj62tmz385ax7fd4","0","0"
"osmo1c0alnmdraq35ds7v7k4fcm3322dx6v7ydghx3t","0","0"
"osmo1g848ejjn4dhmj6flu7pvg9k3u7q3xknu05l3r8","0","0"
"osmo1g8dvzcgtmwkqk0v8xrn9uvdj5d845938exnq7j","0","0"
"osmo1h3dyx82jpsdzdrs0d5a8me7apd27l6kn82hk6e","0","0"
"osmo1jtde99gd8jx4clud26kn0fssyturkrfgnrmnes","0","0"
"osmo1lh6ruf253fhjykdesvfccy0y0vhjque4qfu5ej","0","0"
"osmo1lyy3epvws3nf3fc2vwj3ksl9zuue3rlxasvm93","0","0"
"osmo1nvtqmuuetxz0jupevz3a4w0va6gy6lv5065f2t","0","0"
"osmo1p89fj3qgl50w066r0rz0zyfn2msgh85r8c9c0m","0","0"
"osmo1qxkxds93gtx769scvxxez8ezleur95ktusv5qa","0","0"
"osmo1sfc34ujkys84eeqmegm7lle955y3edytg0dcmj","0","0"
"osmo1v72k4jfn2kd098gkgle4e36cetelcya75ttjvp","0","0"
"osmo1x79yqj836j0jxsx9s0u4c5t0vwq88jayy3k4n2","0","0"
"osmo1yjh55mu7j58s8z9p604ltjefg36nls293mvtpw","0","0"
