address,amount
stars1uuw7kqjlmhunhyja9d25ludm8c34w663nazv9g,1
stars1vdmjsdg80660znsjuh6m2egjat5u7lkljh9f9x,1
stars1qzdaav8ezcp3ugxz7wwzqzg5xlfxvgy9ky6x2c,1
stars12kdu64aqfwwfnt7af4nfqsfjrlxsprvmunezv8,1
stars1qttmfljc3qcerypthjtxw4a8675xcf9ht0a9tt,1
stars1ts7z272wcw22cagvfjym5pvk02je3cqz2ef3tk,1
stars1wum5vwt8glck5s9fmve04lpqdrwu7ugjfe0ym7,1
stars1t8yjrr0egrdffad42yz6ka5vvne3lkt55hjld8,1
stars1cvwx28t7v5s34mwyf47slu8cwcmhw0zfq4vujh,1
stars18egzdcgmvzfstuucaexvd9822tnpu7hyk625lc,1
stars1kwuwr5tp5j3tjv9wyxpwyk0z8ntctmakean33k,1
stars1gxzpkykqhhkrm0ep48aw8q2s8czsuwkl6rltht,1
stars1lqrna6lf35h82dp295d97gwz33qsr2d9sznj7s,1
