address,amount
stars1a0wncd3r039lj3zcuhvkhwwrdch34kfkzf2j8p,2
stars1gxhrcw73vyc40adznrtp3nugfcxsg66luwts5y,2
stars1786dn77nerdchdmkp6lentr85f6d6avwlf8704,2
stars1gjpkdlve6j4glhq4csrzeux4azltqejzej6qh6,2
stars1vm9pftrc8ppasxpx7vqrrc5zmdrru0h6x0xu4q,2
stars1wwlvvjqpw3d9q6xum69f2ph4z2da6yx9yjrlg6,2
stars1d7r8jy7fxwh2t8fmugj0ufh5y0n24u4r3twptr,2
stars15l7649hycsw7rxuqtz7c98qlsh6ufmm3tmktmc,2
stars1ae2vnksyrc7a5d6udr4yjxv89cl69s9l9mekfu,2
stars147n6gh6kaplkzlds3cjtf2qp6qspzxv6xgrkrv,2
stars1ap9grs6tr0fjlw58xwfszxa3txdu5hcjjucv7t,2
stars16ajvq94kfgxxhal2h4sfcyy42ww4jrrr5mjyt7,2
stars1nt4gud8r30l76hehhfxftklc8d3t3cv056myzj,2
stars1wum5vwt8glck5s9fmve04lpqdrwu7ugjfe0ym7,2
stars1vaznrpa57e73nnty5tvtl8xz7hlf4jvckf7vjq,2
stars1quhdp5phse3cwr49cnk43jhuqjnzrzxxgjmr8z,2
stars16r4ewgggfrty3ufc4f5lv5mt7hxmpjn5tkxlsx,2
stars1uaux0dl3gh40y9czng2eqn2d52uu8afvylv8u7,2
stars1905any22zesht2td96ycftkfe8yjdt3pr053au,2
stars1sxl0vrx60x82u5krrjwcde3alsughpf8uflpja,2
stars1mgd8tgkh4heyfz4cqfvcgwpta2f4ymm4swguxu,2
stars1vdmjsdg80660znsjuh6m2egjat5u7lkljh9f9x,2
stars1cpjfjp8ax7h54qe09g0zxjxtwpdt546mczeemt,2
stars14h6cxd3vs8s0emkkcfrqegd5c2cysa54yssk9d,2
stars1dlmkrf2tv4tfr0j07j4u8y3gswzgztytuy02gn,2
stars12s7cfwfj3jc8f89cw8ws0jfaux37tyjwj76gl7,2
stars10jm8fvdyqlj78w0j5nawc76wsn4pqmdxwjyelu,2
stars1tg70tuzekpd376dpqr68yx5a7r709w6xm40t27,2
stars129e9nqhpupsl9rxmd9t0ehms363ghyyeum49zr,2
stars1vl665zdrc6n2nvme8ymxnqsh4u3kax672qnxqg,2
stars14cz4xzkzfale5f4gp52n6mpp5ztx2ynzzp6p94,2
stars1g8huu5dyfgae727j7lzur8fv6zdzha8s53yphw,2
stars14amduhjazqhwtkhm6kutdcy4ux5zazf5shrlpy,2
stars1vurpksphqraat4cxs72p6m7vekg4e0ujd9kgx6,2
stars12qwua09qzwzyq9np7k5t8ggtuuwql5e7gawn7u,2
stars10pujzxn9k3zfkxp5vt8v09gtfdhayjx8dath0p,2
stars1pn8nw8mu3je4wtjmsxtshu250h930t306cqttc,2
stars1rp4fupd6gkvl4e6lueed33ptqy9gd3mjxe5j0q,2
stars1jpdcwzw732r2dz4y2ty549rzx098pn9vymwdty,2
stars1rtq3yj9c2xehldkgtujcc4064s6kvqxah0s22x,2
stars17fgw2rewz4rd7rs9c94nrga0xgv3m53nr3y6rw,2
stars1gqt8as8s6fxcqgz5c0n2yge2p68encaqfwefll,2
stars12kdu64aqfwwfnt7af4nfqsfjrlxsprvmunezv8,2
stars1ky42lgprs3zr8299mgezxp03yrldqhhesvuqse,2
stars1f3cqss2xwav7wxu993cfj4lldtvqs33lwudlqs,2
stars14ekmnjuvqx9k2kjpmy5p2s4gklszfkcw4w4mek,2
stars1dqxyc2pzmwrw0v6e8nf9alsz9d42ffq9686gvr,2
stars1u8xff6p6p4uunrpha6m7fskv6j5z49qhc7cjk8,2
stars19uf9yk3h3m0ztn0zk60llj5l6mu93xpmdyummk,2
stars1d74f6c7rgyyym57530rc2tt88fnl6wpdcpz6ta,2
stars1f44qd2yw4f007dqddltptaqyqly9qs05fmjhpj,2
stars1hwuvhvgpga8n7p3tdfductq23aegnge7uvfx9w,2
stars1evhrfqrcsfn09v7x8fylthlxrk2j4pc4j646ww,2
stars12kgwvf4l2zrwvhww2zh846txgp8expzqktqeqk,2
stars1kl7xy35sh9ruxx6pw6jaecptf5f4px3sln3yqm,2
stars1ssd0el3h44ee58nftz0ps4wnxc2sf6umq4yvj6,2
stars1z3pm4fkxyqzgau5qr2q4en425qgketktcaejth,2
stars1eqzs3d344pewqf9um08266h9dk2ntkcx07m4sk,2
stars1psdhnw746sej28ruup7uyk8ym227zl6egv302l,2
stars17wz08283rjqkra2qsgfrt8tf4pt5p86q3ht5w7,2
stars12w9kf8xqe52uvgavtgvjgegasvmlqueewyp0qk,2
stars189l7q25xdttvlr2uug46vk8uqcmhh6wld2f826,2
stars1zf22zdpfmnqg2n48z8c382sxtv5epygks726m0,2
stars1t8yjrr0egrdffad42yz6ka5vvne3lkt55hjld8,2
stars1c362wx6uzfuncgm4t0rex675pzxq7nmp944m96,2
stars1lvqq2g0vhnscnkqkmu48j4etl6y5umku4mmenw,2
stars16e6zmwgscxee4vg7d069q8lmxculr0uvkfdjxj,2
stars1p2jy2vz20n6g8v5u40xurqpe8uev845ppxg6nc,2
stars10gntlcdxakjdk24ua9jrm2kegfgne5679yuvdp,2
stars1fuvcqj8uw8mkysptlfgjjshvn60jvmhr5s7stf,2
stars1kwuwr5tp5j3tjv9wyxpwyk0z8ntctmakean33k,2
stars1n5gytpynpg89z39jy7w2l7gur4w58calmevp0p,2
stars1sum6grjhf5vm25yt7s7las83805zaf3w5g0mqc,2
stars1e5hrgj6ud2v5mptvksjt3c42vy5snyd5sqd03w,2
stars1akkxnrnmy2c5sazxyz22e8j0p7984y9rz2w78n,2
stars1s8d0dqw42vdnwl42wgcrmud8hc9qdc8u4qnef5,2
stars1z64amnsgslu3aqtqs8a37x0e7qt2tuc3kthfdx,2
stars12q567kam3tclejefg8jggkxfxues5xlhg3amg2,2
stars10lxgdhq65ct02fsr9k8cd4z2a38g77xye4hun5,2
stars142cvfqqkew57awj8xh47agz98qsz987e5unuws,2
stars1q6tweh3eppcfety6985tndk4xac670wqermugu,1
stars1ep3e693serx5cyja05spkg6jy20w3rny99v3zx,1
stars1766u2rw3gapear9ju08a9tjauf3cm5t3suensc,1
stars1u0230nvy30v66ldzg05rtqrgv0t5np260xpkkd,1
stars18zlg5hsej6e40cfpya03339lfk88rqjx6mhdv5,1
stars1904h4pkdezcm7xcxrcum7cckr4wel3kad8m9r0,1
stars16qg4m99jnx8606ky44r7r44nrdj9dw5s9fzd94,1
stars1xfkye0m38p9ehkrqt528w0y3u4g6v6we4a2l3n,1
