owner_addr,token_id,is_listed,is_in_pool,is_staked,dao_address
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,100,False,False,False,
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,101,False,False,False,
stars10ejwp6pzwje32t3za5rhyej8gujhr2tcf7vs6y,102,False,False,False,
stars10ejwp6pzwje32t3za5rhyej8gujhr2tcf7vs6y,103,False,False,False,
stars17drl3u8mxy8nyz5fcrudnf5cjagst7kv0kafdv,104,False,False,False,
stars17drl3u8mxy8nyz5fcrudnf5cjagst7kv0kafdv,105,False,False,False,
stars167x86wtm089su58a0sjg4cg4sumhqyktyqu7hh,106,False,False,False,
stars1mp3knpf4yka3dk6fm6h3qprhet26x5exjlpest,107,False,False,False,
stars1rafqlhkvz38d9jhzkxumr78nfg8gyce4w5r2kr,108,False,False,False,
stars1hukwqulasgyg9mreh62uj87pasdwtg8ya4dpgl,109,False,False,False,
stars1hukwqulasgyg9mreh62uj87pasdwtg8ya4dpgl,110,False,False,False,
stars1azes8zlagztlwps95mplm39vwpld08d45ejsww,111,False,False,False,
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,112,False,False,False,
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,113,False,False,False,
stars1uzgnpf4lfkl28mdlkqrtvy990suwnklantvjw3,114,False,False,False,
stars19xa058q8h79x2ws22hjtawuer0kjzj88tsj8vl,115,False,False,False,
stars19xa058q8h79x2ws22hjtawuer0kjzj88tsj8vl,116,False,False,False,
stars19xa058q8h79x2ws22hjtawuer0kjzj88tsj8vl,117,False,False,False,
stars143gynwp07me5sg7g5lp0kqswmj0mvh2tstaww5,118,False,False,False,
stars1fs0ke5aqxuzwczzj4ks4h4fr2shjzcgu0m3f3a,119,False,False,False,
stars124f2vtvz43ecz5hghx0j6x8q0u7yve5cty57ea,120,False,False,False,
stars1sn73hfcp583y7ljyku08rranflmf5ahl654e22,121,False,False,False,
stars19g4h644j3z3dd98c0lg0xmjex8axerrgum8rel,122,False,False,False,
stars1pd0px3mg76qgp7rxe6pua90z0ucsd7zlt63jgj,123,False,False,False,
