wallet,nfts held,10 or more,AKT distro
stars17fx073x2s2hdsu88dt09fvdp0wwfkejykqqy0p,5,0, 3.420 
stars1f4fqgj2htmpff6qe5nnhgl42pevekl34ykdah9,5,0, 3.420 
stars1653zl4eawdjuuegr60czxxz2z47fe7haeld3y3,5,0, 3.420 
stars1shj3lsn5hgq3qjpspur2rwrhuhlv7qf47hk2sg,5,0, 3.420 
stars1flhs29gr32y3xywvxuzqxymu5pgvyyat0r5epn,5,0, 3.420 
stars1vyr25fpz2httevfz65mgcrj2kaurw55m6xmc68,5,0, 3.420 
stars12y770gz4m9x4qtgkq6t8twrn42cgnwxmmhatdn,5,0, 3.420 
stars1yrd0sl9g2j7fglxunef2agr7u3j6nsapus7vsd,4,0, 2.736 
stars1yvjzddtyg5jt2vruea0wgyqae9dwqy3d20p0fw,4,0, 2.736 
stars1yucffj4d7ahgnc4trvjj32sgsw02d86uul0m29,4,0, 2.736 
stars1xwzjnzrdt59zc8r69mkzmdeyzhrwy3p9gzfw96,4,0, 2.736 
stars1gz42gykppkt5se07mejl98mst3hgr9l0uu73rd,4,0, 2.736 
stars1r2s7nnymn2g5g5gsmj56cvwttuqs86ky763ue4xqxvdv6f5k8ewsar5kzp,4,0, 2.736 
stars13vk23rl6hmswvwexd9f5ae59egtqy2p7y3glqc,4,0, 2.736 
stars1shzdv2ke6dhud0y6n0vf69ss8asxxptwwgxhxt,4,0, 2.736 
stars1ah0ed0sxrftj02m8jc2srxuhnfh8a4085pw7wz,4,0, 2.736 
stars1urcmv4ge6n64f9xydw2crjjyml8ezzu6ekg69t,4,0, 2.736 
stars1r6f5tfxdx2pw5p94f2v5n96xd4nglz5qdgl4l3,4,0, 2.736 
stars1z28n9utzj7qtj3p8aqafl6uqjxakx2fj9x7jw0,4,0, 2.736 
stars1uycs6c6wg6e0ewkm0thmv5smqcnd0c7hdezmjm,4,0, 2.736 
stars18lxa0q4qeu39ntqv92xwged50qtknxf5678jmj,4,0, 2.736 
stars1dnl83rxxgg29d7zgwam9sldnr6chtftdvdcvq0,4,0, 2.736 
stars154fvcpg0qesfnegljtpvjamr5azw548mty3tg7,4,0, 2.736 
stars19l954shqkvq8uw4cvu2gqtu3duxdjktv95r8xa,4,0, 2.736 
stars18hj0dztsqyarjvfa30d64csj3ms06er3a8cjg3,4,0, 2.736 
stars19xa058q8h79x2ws22hjtawuer0kjzj88tsj8vl,3,0, 2.052 
stars122nsp5l3uuqr36qh29puasqmlrvxpvc8ng3hlc,3,0, 2.052 
stars1x6lku838dmerjaslypgm2ykfs66ec7da72pxgk,3,0, 2.052 
stars1fqrqcrjgl2fjtyfm4hz9a222uaqgp0672eqyl7,3,0, 2.052 
stars1k53jk7cyqk8rcwfd7a5x3t4jwnds62glsfmvsn,3,0, 2.052 
stars1eck27qefttt5twxsg38gsr0q0hr4e3vvxg0vvc,3,0, 2.052 
stars1w8n4twwlms2043fedj8wqenykkv8kg7tk090q6,3,0, 2.052 
stars1ja86k72hx88v93pryjesh7g4572z5pwgz5uc0s,3,0, 2.052 
stars1k2ptg3eutafspp67ym2et4rez3fryd4g025fy6,3,0, 2.052 
stars1lh6ruf253fhjykdesvfccy0y0vhjque4uwcey3,3,0, 2.052 
stars1fvnn96kq7xex7t365ltva3msu6ewntxf6ur826,3,0, 2.052 
stars10dmz3m9az53sa59fjmlea7wsjdme95yj0s5xm5,3,0, 2.052 
