address,# held,weight,PLEB,CRBRUS,SHITMOS
stars1c0alnmdraq35ds7v7k4fcm3322dx6v7y30ntvg,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1mlxynkqd9js8tkdnkk0e27lgz7x9lt866n5r44,3,0.005882353,18395.81765,183465.6471,121.1411765
stars14vth44qnn7sus6e5mgdrpssgcd6ke4p7jh3kx3,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1thvncfatxukryyceuqxh5fzvxa57sj7q6530t3,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1m74zj2duq6aqunjz4syec6wtquxygrkpe6dfnc,3,0.005882353,18395.81765,183465.6471,121.1411765
stars10grfh2ayswcdxgs5r0m7l48uj0u07wzdemazre,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1njgpaj034ytpvhr9h8zcrzt7hwe38wrgw0gy3f,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1z5x07m62laz6thm8quanqgvg42gz99s833eaqw,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1ldyrv5nynqnwjknqmklmcnq95utqpz3ru3a9f7,3,0.005882353,18395.81765,183465.6471,121.1411765
stars19kh5z7ujuuf4vlrphecw50vgywemdd7xehh4tw,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1hheryepdqyamzy4vsh7alcjlwq5k0kfmsusn9v,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1d638gncyvhsx9zqg8y9hsaz8tge8vune5lvtsv,3,0.005882353,18395.81765,183465.6471,121.1411765
stars17drl3u8mxy8nyz5fcrudnf5cjagst7kv0kafdv,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1vu0783q72caqtyf06reqkrf583l9xtqzh8xasa,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1k9ng85nlhlc94865c3c0znygr7h3kre56tth8g,3,0.005882353,18395.81765,183465.6471,121.1411765
stars1g24a5v2ul92ypqdkh2c2vlxhg37qx9dcjxjdv3,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1rxtlgc5xw9anlkasady7ukfrppktl950ht2pv9,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1qqgga7z7frzmmavqh4a3ypyh0z5hd2y77m2cmk,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1tnyrxmdk6jtw8vqsq74z8t8y562mgcf79fzhvy,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1x4nwcsuhn0dywtncclt5x73fff6c9sppg20ptw,2,0.003921569,12263.87843,122310.4314,80.76078431
stars130tcpz6l0j9f382prlj67r29jmr25cgpacmd7r,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1gevw3t2n7ffy9ddhel2600skw6e8fcta7567dk,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1xzxryre49s6w6f4lay76kpm3w6cj85vjhgljwy,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1fd2wxqhwd7jtvsgkjpwjpkqjrh7j3mdwca2y8g,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1c9kh306pjhaau6qugvt6w3eeg9w2ckqf8d7g9k,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1qkjcqvwclse06h5zvznhnp9ngvzz74z5pst5sr,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1hsr2jqc7fwzn8ef393kjt59k2uu8evftetx7f9,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1uq5veg6xs5jyu70cygptuput46fhdkpey8man6,2,0.003921569,12263.87843,122310.4314,80.76078431
stars1442jxc2sdh0rpw20lt0w2gep50kypjy3culxc2,2,0.003921569,12263.87843,122310.4314,80.76078431
stars14q4c6kgg7xegcc88naqt6f8fz2skuzczhtg87f,2,0.003921569,12263.87843,122310.4314,80.76078431
