address,# held,weight,PLEB,CRBRUS,SHITMOS
osmo1k2udl7s6zcyh2qun6077zxwh2vfw7f795clggv,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1ku3yettme828gjwv9z95q6qv85cdq9aeyfjsc3,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo10w6pdxd7d4p9ep4dhjf52aka7lqgfck3vc9vn8,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1343plscwt4r4x5f9kpmm0r9ev3ulj20vkntnca,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1z9r97htdqtgnulcuxenxfdt6hhv7twj6zvwy30,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo14hw3twds5yjdceeaf4l838dd7kjtpd2vs86l6y,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1dqsmw3sryd4f8ty8sl455ym6usznmdvllrv9kp,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1328u42mjw8lxg45m09635yu3qaanjznds9ww6y,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1vqzn2kzjnhvn02x0xc5n3z2wwaw766asywjlps,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1n9xvdlrhpxj9366xp6f9wal080mrklzhyapr9e,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1kltq0wxecvynstxj9l7wymmlnpga7x4qsjw9k6,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1eesytf0kvrglzjzl4qgw3fdck8khfgruh3uduy,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1uxqzsek4tmc483v0dpzjvt0pc5j804g5sdgtvs,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1f3cqss2xwav7wxu993cfj4lldtvqs33ljmfjan,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1nncrk6vanwq3ugyclnymqdhjuq7de85l33rrgn,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo16xqf05lggllk363x7gppll5x8jh7yz89vqk70z,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo14m6vd4kdeh252f4azpw2eajyl9rrh9rcgtupx7,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1y099aycmsx7fr3f5yu0ndkrctatn6dx9xqqxvf,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1fgqf6a04vryth6sddymdxtsph6pdp8yzrv2wzj,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo186psvp8ykv6zgcemtjryqxemg366727ur78qep,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1clkntu4pqp3rnz7j0rw7puk3xq3rv2x9atq5gh,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1dnl83rxxgg29d7zgwam9sldnr6chtftds2upav,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1wvgwyvqh7gwus8m684jhdhzs85fgtvj2xvl2st,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo17ecs6g4w0djsd2xaurx3ss9dque24v24y9f5w6,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1r2ullmtu3nwxxt3fmt6kyq6zq3k2cqyxklfq9y,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1d9w8gquzp4ze2u8ncdz2n644v6da2waxvmwn27,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1mddxa63gl83d8vzkpl3kwtta790r0na6p0c33s,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo12rn5d26p6c8d6vg8r36p6fyk6dfreyj3p83g2q,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1awzq5gzp6yhhysxnawcv4u6v6dsc7zp9a7zda0,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1nsd27h4stw288x700t200hs7x4m5rny743nn08,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1t3humsgt6jngxsl6xz63mcjpmlt4u7w5vu6cmr,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1fuvcqj8uw8mkysptlfgjjshvn60jvmhrgh6ak2,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo172t2px5f3f779z8650zwym2kgmq39sfn8ue4wh,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1e4qkfvwy4qjn4c0s273kn5p5xk6fe93syldphz,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1j24k8uj70f5ryczjzz3r2rfnp9xttluyz970x2,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1uzgnpf4lfkl28mdlkqrtvy990suwnkla0vglnj,2,0.003921569,12263.87843,122310.4314,80.76078431
osmo1fxtw3kayz6xq9vq0mjvhg84s72trquj8n2ssjy,2,0.003921569,12263.87843,122310.4314,80.76078431
