address,balance
osmo1r02rpd4svxtyztts7trxnwwaze70r3jvmgka25,2.0
osmo1r0e7gpv56u4ecvfjhv2cucdxmd3ngguqlnk5g8,2.0
osmo1rsdk7s04kyjtrqkhmxnhqauyxnzyact82rfemj,33.3
osmo1rs6y6fc2u6kwk0k0d62vq7tmw967nk5x50fpl3,13.32
osmo1rs7grusea6ht4xerzle04f3ngcedtkk73uugq0,2.0
osmo1r3sglnjc34q2l0nf2rl2dh6slum564mm09g4fy,2.0
osmo1r3aegs9sshh5zwnuk7e0u9eqxcgy2lsaq9s0v9,2.0
osmo1rjycy86atmgaywvq36lz78g4cn5pha3xafxsp5,33.3
osmo1rjgcsz3kd9thng0cv8rz7ypw2k3cx03yzh2t8v,35.52
osmo1rne40npkyad3rvhzxg9q7xp9yg0qn76lyu8j66,35.52
osmo1r54xcpm6ujh3tkr3m0x90fppc3fqrtgatmsu45,6.473702
osmo1r4a7427fdnp2cxwv4cjnygaajcgs7f6956jruq,35.52
osmo1rk8f8ye8rjl43aktg8g2m3u36vp2kmwha7yetq,2.0
osmo1rkejf8f8032x6azcuqx2pahkmupqk5ws9p7g4a,33.3
osmo1rhf8wp7m7htjr0elpah46adkhc3sm28s3q5r3w,155.4
osmo1rht4rfw56y6megktxznplltm0lx354yvcr5zu6,33.3
osmo1rh4ule0z2uzzwhc0yywytwq2chsdq0pd4dwhy2,4.44
osmo1rh77t8g7hlajsxdeke2uveypv6v35dpqhun9t8,33.3
osmo1rcntjgyfalhvg8aelzd750v4z4f9w9f2grpaym,2.0
osmo1rc6zk2k0las34k4zn5msp4d48yuukg0jgvtccd,2.0
osmo1ref3jlptwyhdf40phfxhff4sqs2v9kj6ayulul,97.247636
osmo1r6zdqatd5lz47p49gw0q0httlrzy56j6z2tpwg,42.18
osmo1r6f5tfxdx2pw5p94f2v5n96xd4nglz5q30mczj,149563.821788
osmo1rmtt5svrjdungmgu34ugst9awvhemlkn60xpvh,15.54
osmo1runnns00ux2mw8ge3mjqg6z82nxjv76s3fxp6m,12913.148406
osmo1ra9563z5tn2lmqhydt2atrgzftk2d7umf9f2eh,33.3
osmo1rafqlhkvz38d9jhzkxumr78nfg8gyce4jn88tq,0.000422
osmo1ra29cefg3af66elcj0c60q3n9kc97wrar3xfx9,11.1
osmo1ralltvn72rclqtd7szv7h8kckrw2s65tdjm7l9,35.52
osmo1r70agml0f3y54tc0sgzkrz06pgyr6h95ly26up,24.42
osmo1r7ksvq48km92gs9atkjq003u990xdant7slf5g,42.18
osmo1rlsdrt7m2aat7cvjvks00n5srq5khllqhxzls0,2.0
osmo1rlkdml7dpuedpmkxhval5qlqzp9hxfpuexa6xt,2.0
osmo1rl7hfv03atd940ajvg2v0rccvj98af8lt3nw9w,35.52
osmo1yq3ddu9nnq0nn37qw0hqaqrqrd0q8v7dxyj5f0,2.0
osmo1yqh7lwvwz9zerdzs9jjajyalkgs0uym4j2lq2y,1.163007
osmo1yqccwpnusftd9rhwexfcglqlk87au5pkv6mxft,210.84
osmo1ypflp7l647qnkkka5haezyxpgdad9vfclq9ucq,4.0
osmo1yp2440e5gk25ej9qjwg6fldqlnm4jz4xa7a6p8,42.18
osmo1ypv9h04t20uck5w5d43zvcua0vxlgxf64k3hhf,3813.467466
osmo1yzym3ktweyedrt266w75znnedwwdsue67t25pw,33.3
osmo1yztpfn4gxmwvqa2kwt9ademrxzxnmz4gyfryra,35.52
osmo1yrfnjkdg07m5x68y082j3tms9ss6mfmkhhd9ch,35.52
osmo1yr3ql5g49ffqz4pme5949wv8kw5zetnxyasmn2,7696.017734
osmo1yy9fcz7d9w2s3v590hdsyn96g3et6udlga37r4,2.0
osmo1y9mypaa2tyxga34f9dn3qdhng63wxstx8hcm6a,35.52
osmo1yxp82qlay8768867clrg64kje9dyv4y6tveu52,2.0
osmo1yxg0k923f5j9x3kar9vac99k5ndd3wnuwszt4a,2.0
osmo1yxt425jn7rxgzagxlhv9l2yajkv6n5hts3kndd,35.52
osmo1y8lgme4d47nfnevhkwvyx0wd33zhl7unx20q93,2.0
osmo1ygcc7z5j025w2hyc38cnl7mn0whvggm2wz9ar7,2.22
